AgeBand,Gender,SmokingStatus,BMIBand,ExerciseFreq,PredictedProbability
18-24,F,current,normal,no,0.01210038
18-24,F,current,normal,yes,0.00673945
18-24,F,current,obese,no,0.03306863
18-24,F,current,obese,yes,0.01859281
18-24,F,current,over,no,0.01754634
18-24,F,current,over,yes,0.00979657
18-24,F,current,under,no,0.00799388
18-24,F,current,under,yes,0.00444410
18-24,F,former,normal,no,0.01232081
18-24,F,former,normal,yes,0.00686290
18-24,F,former,obese,no,0.03365802
18-24,F,former,obese,yes,0.01892925
18-24,F,former,over,no,0.01786418
18-24,F,former,over,yes,0.00997546
18-24,F,former,under,no,0.00814012
18-24,F,former,under,yes,0.00452570
18-24,F,never,normal,no,0.01096294
18-24,F,never,normal,yes,0.00610283
18-24,F,never,obese,no,0.03002007
18-24,F,never,obese,yes,0.01685550
18-24,F,never,over,no,0.01590522
18-24,F,never,over,yes,0.00887375
18-24,F,never,under,no,0.00723962
18-24,F,never,under,yes,0.00402343
18-24,M,current,normal,no,0.01567273
18-24,M,current,normal,yes,0.00874312
18-24,M,current,obese,no,0.04256465
18-24,M,current,obese,yes,0.02403527
18-24,M,current,over,no,0.02268956
18-24,M,current,over,yes,0.01269752
18-24,M,current,under,no,0.01036660
18-24,M,current,under,yes,0.00576932
18-24,M,former,normal,no,0.01595719
18-24,M,former,normal,yes,0.00890295
18-24,M,former,obese,no,0.04331572
18-24,M,former,obese,yes,0.02446774
18-24,M,former,over,no,0.02309838
18-24,M,former,over,yes,0.01292869
18-24,M,former,under,no,0.01055579
18-24,M,former,under,yes,0.00587510
18-24,M,never,normal,no,0.01420432
18-24,M,never,normal,yes,0.00791874
18-24,M,never,obese,no,0.03867569
18-24,M,never,obese,yes,0.02180072
18-24,M,never,over,no,0.02057748
18-24,M,never,over,yes,0.01150461
18-24,M,never,under,no,0.00939059
18-24,M,never,under,yes,0.00522386
25-29,F,current,normal,no,0.01491035
25-29,F,current,normal,yes,0.00831498
25-29,F,current,obese,no,0.04054804
25-29,F,current,obese,yes,0.02287556
25-29,F,current,over,no,0.02159334
25-29,F,current,over,yes,0.01207809
25-29,F,current,under,no,0.00985975
25-29,F,current,under,yes,0.00548599
25-29,F,former,normal,no,0.01518118
25-29,F,former,normal,yes,0.00846704
25-29,F,former,obese,no,0.04126505
25-29,F,former,obese,yes,0.02328766
25-29,F,former,over,no,0.02198286
25-29,F,former,over,yes,0.01229812
25-29,F,former,under,no,0.01003978
25-29,F,former,under,yes,0.00558661
25-29,F,never,normal,no,0.01351239
25-29,F,never,normal,yes,0.00753066
25-29,F,never,obese,no,0.03683623
25-29,F,never,obese,yes,0.02074653
25-29,F,never,over,no,0.01958126
25-29,F,never,over,yes,0.01094273
25-29,F,never,under,no,0.00893103
25-29,F,never,under,yes,0.00496718
25-29,M,current,normal,no,0.01929608
25-29,M,current,normal,yes,0.01078198
25-29,M,current,obese,no,0.05207618
25-29,M,current,obese,yes,0.02953394
25-29,M,current,over,no,0.02788916
25-29,M,current,over,yes,0.01564397
25-29,M,current,under,no,0.01277917
25-29,M,current,under,yes,0.00711968
25-29,M,former,normal,no,0.01964499
25-29,M,former,normal,yes,0.01097866
25-29,M,former,obese,no,0.05298579
25-29,M,former,obese,yes,0.03006229
25-29,M,former,over,no,0.02838895
25-29,M,former,over,yes,0.01592792
25-29,M,former,under,no,0.01301180
25-29,M,former,under,yes,0.00725004
25-29,M,never,normal,no,0.01749423
25-29,M,never,normal,yes,0.00976725
25-29,M,never,obese,no,0.04736118
25-29,M,never,obese,yes,0.02680221
25-29,M,never,over,no,0.02530559
25-29,M,never,over,yes,0.01417822
25-29,M,never,under,no,0.01157867
25-29,M,never,under,yes,0.00644737
30-34,F,current,normal,no,0.02316983
30-34,F,current,normal,yes,0.01296910
30-34,F,current,obese,no,0.06211386
30-34,F,current,obese,yes,0.03538881
30-34,F,current,over,no,0.03342919
30-34,F,current,over,yes,0.01879861
30-34,F,current,under,no,0.01536512
30-34,F,current,under,yes,0.00857034
30-34,F,former,normal,no,0.02358710
30-34,F,former,normal,yes,0.01320515
30-34,F,former,obese,no,0.06318710
30-34,F,former,obese,yes,0.03601802
30-34,F,former,over,no,0.03402479
30-34,F,former,over,yes,0.01913870
30-34,F,former,under,no,0.01564409
30-34,F,former,under,yes,0.00872703
30-34,F,never,normal,no,0.02101400
30-34,F,never,normal,yes,0.01175098
