age_band,Gender,predicted_probability,AgeBand,MortalityRate
1,F,0.011345200621606794,18-24,0.000477
2,F,0.01715153480957053,25-29,0.000696
3,F,0.02789432200705988,30-34,0.001017
4,F,0.039101357445039744,35-39,0.001358
5,F,0.06425259280187627,40-44,0.001851
6,F,0.10508462072491719,45-49,0.002463
7,F,0.1471183005800075,50-54,0.003576
8,F,0.1679562898105268,55-59,0.005389
9,F,0.1968744140229156,60-64,0.008208
10,F,0.19975354714663696,65-69,0.011751
11,F,0.21161837564558075,70-74,0.017873
12,F,0.22668651185080246,75-79,0.029835
13,F,0.18292678294794815,80-99,0.093825
1,M,0.013230093554086993,18-24,0.001287
2,M,0.019585777810727244,25-29,0.001781
3,M,0.032551195351965156,30-34,0.002298
4,M,0.044116881974540355,35-39,0.002771
5,M,0.07328409045421894,40-44,0.003432
6,M,0.12254136604076532,45-49,0.004302
7,M,0.16780680669255693,50-54,0.005968
8,M,0.20018627467154074,55-59,0.008949
9,M,0.23061728516243768,60-64,0.013236
10,M,0.2342576646897125,65-69,0.018777
11,M,0.2452050397693316,70-74,0.026642
12,M,0.2670090763936662,75-79,0.041223
13,M,0.2292722666169686,80-99,0.109587
