WonderAgeBand,Gender,predicted_probability,AgeBand,AllCauseRate,DiabetesRate,DiabetesToAllCauseRatio
15-24,F,0.011345200621606794,15-24,0.00041,5e-06,0.012195121951219513
25-34,F,0.02292538047615322,25-34,0.000866,1.9e-05,0.021939953810623556
35-44,F,0.05219171125824869,35-44,0.001616,4.5e-05,0.027846534653465347
45-54,F,0.12718791831389997,45-54,0.00311,0.000119,0.038263665594855306
55-64,F,0.18369238482090658,55-64,0.007045,0.000276,0.03917672107877927
65-74,F,0.20554911063066753,65-74,0.014862,0.000564,0.03794913201453371
75-84,F,0.22668651185080246,75-84,0.03849,0.00113,0.029358274876591317
85+,F,0.18292678294794815,85+,0.134781,0.002417,0.017932794681742973
15-24,M,0.013230093554086993,15-24,0.001062,7e-06,0.006591337099811676
25-34,M,0.026175934793013916,25-34,0.002021,3e-05,0.014844136566056407
35-44,M,0.05936219315916693,35-44,0.003075,7.6e-05,0.024715447154471545
45-54,M,0.1465140213698089,45-54,0.005237,0.000219,0.04181783463815161
55-64,M,0.2169831666981173,55-64,0.011386,0.000508,0.04461619532759529
65-74,M,0.23937653927173397,65-74,0.02263,0.000945,0.041758727353071144
75-84,M,0.2670090763936662,75-84,0.051639,0.001767,0.0342183233602509
85+,M,0.2292722666169686,85+,0.153696,0.003499,0.022765719342077863
