feature,coefficient,std_error,z_value,p_value,significant_0_05,odds_ratio,coefficient_ci_lower_95,coefficient_ci_upper_95,odds_ratio_ci_lower_95,odds_ratio_ci_upper_95,fit_scope
Intercept,-5.35936109,0.10761482,-49.80133150,0.00000000,True,0.00470391,-5.57028613,-5.14843605,0.00380939,0.00580848,"primary labelled records, refit after held-out evaluation"
age_band_01,-1.48715874,0.18911409,-7.86381766,0.00000000,True,0.22601391,-1.85782236,-1.11649512,0.15601200,0.32742537,"primary labelled records, refit after held-out evaluation"
age_band_02,-1.28985273,0.18009835,-7.16193540,0.00000000,True,0.27531133,-1.64284549,-0.93685997,0.19342886,0.39185635,"primary labelled records, refit after held-out evaluation"
age_band_03,-0.82536846,0.14319996,-5.76374784,0.00000001,True,0.43807355,-1.10604038,-0.54469654,0.33086648,0.58001777,"primary labelled records, refit after held-out evaluation"
age_band_04,-0.52223451,0.12501970,-4.17721780,0.00002951,True,0.59319357,-0.76727312,-0.27719590,0.46427737,0.75790601,"primary labelled records, refit after held-out evaluation"
age_band_06,0.26446594,0.10236847,2.58347063,0.00978118,True,1.30273505,0.06382374,0.46510814,1.06590450,1.59218637,"primary labelled records, refit after held-out evaluation"
age_band_07,0.90612114,0.09198947,9.85027000,0.00000000,True,2.47470487,0.72582178,1.08642051,2.06642855,2.96364672,"primary labelled records, refit after held-out evaluation"
age_band_08,1.11712081,0.08901543,12.54974331,0.00000000,True,3.05604259,0.94265056,1.29159105,2.56677581,3.63857111,"primary labelled records, refit after held-out evaluation"
age_band_09,1.36752338,0.08585545,15.92820754,0.00000000,True,3.92561637,1.19924670,1.53580005,3.31761682,4.64504032,"primary labelled records, refit after held-out evaluation"
age_band_10,1.42196445,0.08491786,16.74517490,0.00000000,True,4.14525561,1.25552544,1.58840346,3.50968203,4.89592616,"primary labelled records, refit after held-out evaluation"
age_band_11,1.52144958,0.08549048,17.79671281,0.00000000,True,4.57885780,1.35388823,1.68901093,3.87245329,5.41412309,"primary labelled records, refit after held-out evaluation"
age_band_12,1.64927708,0.08699757,18.95773816,0.00000000,True,5.20321694,1.47876185,1.81979231,4.38750991,6.17057673,"primary labelled records, refit after held-out evaluation"
age_band_13,1.50544964,0.08776672,17.15285241,0.00000000,True,4.50617935,1.33342687,1.67747242,3.79402275,5.35201123,"primary labelled records, refit after held-out evaluation"
sex_male,0.24261520,0.02969098,8.17134241,0.00000000,True,1.27457808,0.18442087,0.30080953,1.20252183,1.35095201,"primary labelled records, refit after held-out evaluation"
smoking_current,0.11145962,0.04827964,2.30862557,0.02096437,True,1.11790860,0.01683152,0.20608772,1.01697397,1.22886100,"primary labelled records, refit after held-out evaluation"
smoking_former,0.11571732,0.03240038,3.57148011,0.00035497,True,1.12267846,0.05221257,0.17922206,1.05359968,1.19628637,"primary labelled records, refit after held-out evaluation"
exercise_no,0.59114210,0.03228959,18.30751228,0.00000000,True,1.80604993,0.52785450,0.65442970,1.69529116,1.92404493,"primary labelled records, refit after held-out evaluation"
bmi,0.07824480,0.00221583,35.31177160,0.00000000,True,1.08138735,0.07390178,0.08258782,1.07670104,1.08609405,"primary labelled records, refit after held-out evaluation"
