feature,coefficient_primary,coefficient_sensitivity,coefficient_change,sign_changed
Intercept,-5.39663070,-5.07065820,0.32597249,False
age_band_01,-1.40645449,-1.14253652,0.26391797,False
age_band_02,-1.23141999,-1.06056391,0.17085609,False
age_band_03,-0.88926763,-0.60901112,0.28025651,False
age_band_04,-0.62495200,-0.50415259,0.12079941,False
age_band_06,0.35252113,0.31771966,-0.03480147,False
age_band_07,0.96235330,0.84192112,-0.12043217,False
age_band_08,1.10701517,1.01094317,-0.09607200,False
age_band_09,1.36632534,1.26370790,-0.10261744,False
age_band_10,1.43333638,1.35796082,-0.07537555,False
age_band_11,1.56698353,1.41937742,-0.14760610,False
age_band_12,1.69846400,1.55406154,-0.14440246,False
age_band_13,1.50435785,1.38348271,-0.12087513,False
sex_male,0.21352749,0.18914525,-0.02438224,False
smoking_current,0.14196340,0.10361671,-0.03834670,False
smoking_former,0.11881592,0.09485507,-0.02396086,False
exercise_no,0.58465119,0.55357188,-0.03107931,False
bmi,0.07934245,0.07832796,-0.00101449,False
